bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,zipcode,price,age_on_sale,renovated,high_value
3,1.0,1180,5650,1.0,0,0,3,7,1180,0,98178,221900,59,0,0
3,2.25,2570,7242,2.0,0,0,3,7,2170,400,98125,538000,63,1,0
2,1.0,770,10000,1.0,0,0,3,6,770,0,98028,180000,82,0,0
4,3.0,1960,5000,1.0,0,0,5,7,1050,910,98136,604000,49,0,0
3,2.0,1680,8080,1.0,0,0,3,8,1680,0,98074,510000,28,0,0
4,4.5,5420,101930,1.0,0,0,3,11,3890,1530,98053,1230000,13,0,1
3,2.25,1715,6819,2.0,0,0,3,7,1715,0,98003,257500,19,0,0
3,1.5,1060,9711,1.0,0,0,3,7,1060,0,98198,291850,52,0,0
3,1.0,1780,7470,1.0,0,0,3,7,1050,730,98146,229500,55,0,0
3,2.5,1890,6560,2.0,0,0,3,7,1890,0,98038,323000,12,0,0
3,2.5,3560,9796,1.0,0,0,3,8,1860,1700,98007,662500,50,0,1
2,1.0,1160,6000,1.0,0,0,4,7,860,300,98115,468000,72,0,0
3,1.0,1430,19901,1.5,0,0,4,7,1430,0,98028,310000,87,0,0
3,1.75,1370,9680,1.0,0,0,4,7,1370,0,98074,400000,37,0,0
5,2.0,1810,4850,1.5,0,0,3,7,1810,0,98107,530000,115,0,0
4,3.0,2950,5000,2.0,0,3,3,9,1980,970,98126,650000,36,0,1
3,2.0,1890,14040,2.0,0,0,3,7,1890,0,98019,395000,20,0,0
4,1.0,1600,4300,1.5,0,0,4,7,1600,0,98103,485000,98,0,0
2,1.0,1200,9850,1.0,0,0,4,7,1200,0,98002,189000,93,0,0
3,1.0,1250,9774,1.0,0,0,4,7,1250,0,98003,230000,46,0,0
4,1.75,1620,4980,1.0,0,0,4,7,860,760,98133,385000,67,0,0
3,2.75,3050,44867,1.0,0,4,3,9,2330,720,98040,2000000,46,0,1
5,2.5,2270,6300,2.0,0,0,3,8,2270,0,98092,285000,19,0,0
2,1.5,1070,9643,1.0,0,0,3,7,1070,0,98030,252700,29,0,0
3,2.25,2450,6500,2.0,0,0,4,8,2450,0,98030,329000,29,0,0
3,2.0,1710,4697,1.5,0,0,5,6,1710,0,98002,233000,73,0,0
3,1.75,2450,2691,2.0,0,0,3,8,1750,700,98119,937000,99,0,1
3,1.0,1400,1581,1.5,0,0,5,8,1400,0,98112,667000,105,0,1
3,1.75,1520,6380,1.0,0,0,3,7,790,730,98115,438000,66,0,0
4,2.5,2570,7173,2.0,0,0,3,8,2570,0,98052,719000,10,0,1
